"word","part_of_speech","definition","russian_definition","english_synonyms","russian_synonyms","example"
"profound","adj","Very deep, intense, or far-reaching in effect","очень глубокий, имеющий далеко идущие последствия","deep, far-reaching, weighty","глубокий, основательный, серьезный","Losing his father had a *profound* effect on the way he lives."
"inevitable","adj","Certain to happen and impossible to avoid","то, чего невозможно избежать","unavoidable, inescapable, bound to happen","неизбежный, неотвратимый","With three young children in the house, a bit of mess is *inevitable*."
"intricate","adj","Very detailed and made of many connected parts","состоящий из множества мелких переплетенных деталей","complex, elaborate, convoluted","замысловатый, сложный, витиеватый","The cake was covered in *intricate* patterns that must have taken hours."
"rudimentary","adj","Basic and undeveloped; at an early stage","самый начальный, неразвитый, на уровне азов","elementary, primitive, bare-bones","элементарный, зачаточный, примитивный","My Spanish is *rudimentary*: I can order food and not much else."
"on the same page","idiom","In agreement, understanding something the same way","одинаково понимать ситуацию, быть заодно","in agreement, of one mind","быть заодно, понимать друг друга, договориться","Before we start, let us make sure we are *on the same page* about the budget."
"arduous","adj","Requiring great and sustained effort","требующий больших и длительных усилий","gruelling, laborious, strenuous","тяжелый, изнурительный, трудоемкий","The climb was *arduous*, and we had to stop three times on the way up."
"futile","adj","Pointless because it has no chance of succeeding","бессмысленный, заведомо обреченный на неудачу","useless, vain, fruitless","тщетный, бесполезный, напрасный","Arguing with him is *futile*; he never changes his mind."
"tangible","adj","Real and definite enough to be measured or touched","реальный и измеримый, ощутимый на практике","concrete, palpable, measurable","осязаемый, ощутимый, реальный","After months of training, I finally saw *tangible* results in the mirror."
"pivotal","adj","Of central importance; everything turns on it","имеющий решающее значение, вокруг чего все вращается","crucial, decisive, key","ключевой, решающий, поворотный","That teacher played a *pivotal* role in my decision to study medicine."
"in the long run","idiom","Over a long period, rather than immediately","в конечном счете, на длинной дистанции","eventually, over time","в конечном счете, со временем, в перспективе","Buying good shoes is cheaper *in the long run*."
"exacerbate","v","To make an existing problem noticeably worse","делать уже существующую проблему заметно хуже","worsen, aggravate, intensify","усугублять, обострять, ухудшать","Scratching the bite will only *exacerbate* the itching."
"mitigate","v","To make something bad less severe","уменьшать тяжесть чего-то плохого","alleviate, ease, lessen","смягчать, уменьшать, ослаблять","A good coat will *mitigate* the cold, but you still need gloves."
"alleviate","v","To relieve suffering or reduce pressure","облегчать страдания или снижать нагрузку","ease, relieve, soothe","облегчать, снимать, смягчать","A hot bath helps *alleviate* the pain in my back."
"take it with a pinch of salt","idiom","To not believe something completely","не принимать за чистую монету, отнестись с сомнением","be sceptical, doubt it","не принимать за чистую монету, отнестись с сомнением, поставить под вопрос","He says he never gets nervous, but I take that *with a pinch of salt*."
"undermine","v","To weaken something gradually from below","постепенно ослаблять, подтачивать изнутри","erode, weaken, sap","подрывать, ослаблять","Correcting her in front of everyone will *undermine* her confidence."
"underpin","v","To support something and form its foundation","служить основой, на которой все держится","support, sustain, buttress","лежать в основе, подкреплять, поддерживать","Trust *underpins* every good friendship."
"facilitate","v","To make a process easier or smoother","делать процесс проще и удобнее","enable, ease, assist","способствовать, облегчать, содействовать","The new app *facilitates* booking a doctor's appointment in seconds."
"hinder","v","To slow down or get in the way of progress","мешать движению вперед, замедлять","impede, hamper, obstruct","препятствовать, мешать, тормозить","A heavy bag will *hinder* you on a long walk."
"go the extra mile","idiom","To do more than you have to","делать больше, чем требуется","make an extra effort, go above and beyond","выкладываться, делать сверх нормы, стараться изо всех сил","She always *goes the extra mile* for her students."
"curb","v","To limit or control something harmful","ставить предел чему-то вредному, держать в узде","restrain, rein in, check","сдерживать, ограничивать, обуздывать","I am trying to *curb* how much I spend on takeaways."
"foster","v","To encourage something to develop over time","создавать условия, в которых что-то развивается","nurture, cultivate, promote","воспитывать, взращивать, способствовать","Eating together every evening *fosters* a closer family."
"allocate","v","To give out resources for a particular purpose","распределять ресурсы на конкретную цель","assign, distribute, apportion","выделять, распределять, назначать","We *allocate* an hour each evening to homework, and no phones are allowed."
"implement","v","To put a plan or policy into action","воплощать план или политику в жизнь","carry out, enact, execute","внедрять, осуществлять, реализовывать","It is easy to plan a new diet; the hard part is *implementing* it."
"hit the nail on the head","idiom","To say exactly the right thing about something","попасть в точку, сказать точно по сути","be exactly right, put your finger on it","попасть в точку, в самую суть, точно подметить","You *hit the nail on the head*: it is not the money, it is the hours."
"prioritise","v","To treat something as more important than the rest","ставить одно выше остального по важности","rank first, emphasise, put first","ставить во главу угла, отдавать предпочтение, расставлять приоритеты","With exams next week, I need to *prioritise* studying over going out."
"advocate","v","To publicly recommend and argue for something","публично выступать в поддержку чего-либо","champion, endorse, push for","отстаивать, выступать за, поддерживать","My doctor *advocates* walking for thirty minutes a day."
"attribute","v","To say that something is caused by a particular thing","объяснять что-то определенной причиной","ascribe, credit, put down to","приписывать, объяснять, относить","She *attributes* her good health to swimming every morning."
"exemplify","v","To be a typical or perfect example of something","служить типичным или образцовым примером","illustrate, typify, embody","служить примером, иллюстрировать, олицетворять","My grandmother *exemplifies* kindness: she feeds anyone who visits."
"out of the blue","idiom","Suddenly and with no warning at all","внезапно, без всякого предупреждения","suddenly, unexpectedly","как гром среди ясного неба, внезапно, ни с того ни с сего","She called me *out of the blue* after ten years."
"perpetuate","v","To cause something to continue indefinitely, often something bad","способствовать тому, чтобы что-то плохое длилось бесконечно","sustain, prolong, entrench","увековечивать, закреплять, поддерживать","Telling children that boys do not cry *perpetuates* a very old idea."
"scrutinise","v","To examine something very closely and critically","разбирать очень внимательно и критически","inspect, examine, pore over","тщательно изучать, рассматривать, разбирать","Read the contract slowly and *scrutinise* every line before you sign."
"overhaul","v","To completely change and improve a system","полностью перестроить и улучшить систему","revamp, restructure, rebuild","перестраивать, модернизировать, реформировать","They plan to *overhaul* the whole system rather than fix small parts of it."
"streamline","v","To make something more efficient by simplifying it","сделать эффективнее за счет упрощения","simplify, rationalise, optimise","оптимизировать, упрощать, рационализировать","Ordering online has *streamlined* the process; it now takes two minutes."
"second nature","idiom","So familiar that you do it without thinking","привычно до автоматизма, само собой","automatic, instinctive","на автомате, вошло в привычку, само собой","After a year in Spain, speaking Spanish became *second nature*."
"deter","v","To discourage someone from doing something","отбить у кого-то желание что-то делать","discourage, dissuade, put off","сдерживать, отпугивать, отговаривать","A loud alarm is usually enough to *deter* thieves."
"offset","v","To balance out a negative effect with a positive one","уравновесить минус соответствующим плюсом","counterbalance, compensate for, cancel out","компенсировать, уравновешивать, возмещать","I walk everywhere to *offset* how much I eat at the weekend."
"galvanise","v","To shock or excite people into taking action","резко подтолкнуть людей к действию","spur, rouse, stir","подстегнуть, воодушевить, всколыхнуть","The video *galvanised* the neighbours into cleaning up the park."
"permeate","v","To spread through every part of something","распространиться по всему объему, пропитать целиком","pervade, saturate, infuse","пронизывать, проникать, пропитывать","The smell of fresh bread *permeated* the whole house."
"a steep learning curve","idiom","A lot to learn in a short time","надо быстро освоить очень много нового","hard at first, a lot to take in","сложное начало, много нового сразу, тяжелый старт","The new job has *a steep learning curve*, but I am enjoying it."
"reconcile","v","To bring conflicting things or people into agreement","привести противоречащие вещи в согласие","resolve, harmonise, settle","примирять, согласовывать, увязывать","It is hard to *reconcile* a full-time job with looking after a baby."
"incentive","n","Something that motivates people to act","то, что побуждает человека действовать","motivation, inducement, spur","стимул, побуждение, поощрение","Free coffee is a strong *incentive* to get to work early."
"consensus","n","General agreement reached across a group","общее согласие, достигнутое в группе","agreement, accord, common ground","консенсус, согласие, единое мнение","After an hour of arguing, we finally reached a *consensus* on where to eat."
"discrepancy","n","A difference between things that should match","расхождение там, где данные должны совпадать","inconsistency, mismatch, gap","расхождение, несоответствие, разночтение","There was a *discrepancy* between the price on the shelf and the price at the checkout."
"a grey area","idiom","A situation where the rules are not clear","ситуация, где правила неясны","an unclear case, not black and white","серая зона, неясный случай, спорный момент","Whether you can claim that on expenses is *a grey area*."
"disparity","n","A great and often unfair difference between groups","большая и часто несправедливая разница между группами","inequality, imbalance, gulf","неравенство, разрыв, диспропорция","There is a huge *disparity* between what the two brothers earn."
"implication","n","A likely consequence, or something suggested but not said","вероятное последствие или то, что подразумевается без слов","consequence, ramification, undertone","последствие, подтекст, вывод","If we move house, think about the *implications* for the children's school."
"constraint","n","A limit on what can be done","то, что ограничивает возможности действия","limitation, restriction, curb","ограничение, стеснение, рамки","Money is the only *constraint*; otherwise we would travel every month."
"drawback","n","A disadvantage of an otherwise good thing","недостаток в остальном хорошей вещи","downside, shortcoming, snag","недостаток, минус, изъян","The one *drawback* of this flat is that there is no lift."
"a wake-up call","idiom","A shock that makes you change something","тревожный сигнал, который заставляет измениться","a warning, a shock","тревожный звонок, сигнал к переменам, отрезвляющий момент","The results were *a wake-up call*; I started revising properly."
"catalyst","n","Something that triggers a significant change","то, что запускает значительные перемены","trigger, spark, impetus","катализатор, толчок, стимул","Her illness was the *catalyst* that made him finally give up smoking."
"threshold","n","The level at which something begins to happen","уровень, начиная с которого что-то происходит","limit, cut-off point, brink","порог, предел, грань","If you earn below this *threshold*, you do not pay any tax."
"backlash","n","A strong public reaction against something","сильная негативная реакция общества в ответ","outcry, resistance, reaction","негативная реакция, отпор, волна возмущения","There was a *backlash* from parents when the school changed the uniform."
"play it by ear","idiom","To decide as you go, without a plan","действовать по обстоятельствам, без плана","improvise, see how it goes","действовать по обстоятельствам, импровизировать, решать на месте","We have not booked anything; we will *play it by ear*."
"trade-off","n","A compromise where you gain one thing by giving up another","выигрыш в одном ценой уступки в другом","compromise, balance, exchange","компромисс, размен, баланс","There is a *trade-off*: the cheaper flight leaves at four in the morning."
"autonomy","n","Independence and the right to govern yourself","независимость и право самому решать за себя","independence, self-rule, self-determination","автономия, самостоятельность, независимость","I like the *autonomy* of working from home; nobody is watching over me."
"infrastructure","n","The basic physical systems a society runs on","базовые системы, на которых держится жизнь общества","framework, foundations, facilities","инфраструктура, основа, коммуникации","The village needs better *infrastructure*: roads, water and internet."
"prevalence","n","How widespread or common something is","то, насколько широко что-то распространено","frequency, extent, commonness","распространенность, частота, повсеместность","Doctors are worried about the *prevalence* of back pain among office workers."
"the best of both worlds","idiom","Both advantages at the same time, with neither disadvantage","сразу оба преимущества, без минусов каждого","two benefits at once, win-win","и то и другое сразу, оба плюса, лучшее из двух","Living just outside the city gives you *the best of both worlds*."
"adversity","n","Serious and continuing difficulty or hardship","тяжелые обстоятельства, длительные испытания","hardship, misfortune, ordeal","невзгоды, трудности, лишения","She stayed cheerful through years of *adversity*."
"resilience","n","The ability to recover quickly from setbacks","способность быстро восстанавливаться после ударов","toughness, adaptability, hardiness","стойкость, жизнестойкость, выносливость","Children build *resilience* by failing sometimes and trying again."
"paradox","n","A statement that contradicts itself yet contains truth","утверждение, которое противоречит себе, но содержит истину","contradiction, irony, absurdity","парадокс, противоречие","It is a *paradox* that the busiest people often find time to help you."
"dichotomy","n","A sharp division into two opposed parts","резкое деление на две противоположные части","split, division, polarity","дихотомия, разделение, противопоставление","He sees a *dichotomy* between city and country life, but you can enjoy both."
"see eye to eye","idiom","To agree with someone","сходиться во мнениях, соглашаться","agree, think alike","сходиться во взглядах, находить общий язык, соглашаться","We do not *see eye to eye* on politics, but we get on well."
"nuance","n","A subtle difference in meaning or feeling","тонкое различие в значении или интонации","subtlety, shade, distinction","нюанс, оттенок, тонкость","Jokes often lose their *nuance* when you translate them."
"epiphany","n","A sudden, striking realisation that changes how you see things","внезапное озарение, меняющее взгляд на вещи","revelation, insight, awakening","прозрение, озарение","Standing on the beach, I had an *epiphany*: I did not want that job at all."
"affinity","n","A natural liking for or connection with something","естественная тяга или внутренняя близость к чему-то","kinship, rapport, attraction","сродство, влечение, близость","I have always had an *affinity* with cats; they seem to trust me."
"vivid","adj","Producing powerful, clear images in the mind","создающий яркие и четкие образы в сознании","striking, graphic, intense","яркий, живой, красочный","She gave such a *vivid* description that I could picture the room."
"food for thought","idiom","Something worth thinking about carefully","повод задуматься","something to consider, worth pondering","пища для размышлений, повод задуматься, есть о чем подумать","Her comment about spending less time online gave me *food for thought*."
"immersive","adj","Surrounding you so completely that you forget everything else","полностью окружающий, заставляющий забыть обо всем","absorbing, engrossing, enveloping","захватывающий, погружающий, увлекающий","The game is so *immersive* that I forget to eat."
"exhilarating","adj","Making you feel intensely excited and alive","вызывающий сильный восторг и прилив сил","thrilling, invigorating, electrifying","воодушевляющий, будоражащий, бодрящий","Swimming in the sea in winter is freezing but *exhilarating*."
"daunting","adj","Intimidating enough to sap your confidence","пугающий настолько, что лишает уверенности","intimidating, formidable, off-putting","устрашающий, пугающий, обескураживающий","Starting a new job is *daunting*, especially in the first week."
"desperate","adj","So worried or hopeless that you will try anything","доведенный до отчаяния, готовый на все","frantic, hopeless, at your wits end","отчаянный, в отчаянии, безвыходный","After three hours lost in the rain, we were *desperate* to find a bus stop."
"mundane","adj","Ordinary, everyday, and lacking interest","обычный, повседневный и скучный","banal, humdrum, run-of-the-mill","обыденный, будничный, заурядный","Washing up and folding clothes are *mundane* but somebody has to do them."
"break the ice","idiom","To make people feel relaxed at the start of a meeting","разрядить обстановку в начале общения","ease the tension, get people talking","растопить лед, разрядить обстановку, завязать разговор","He told a small joke to *break the ice* with the new team."
"tedious","adj","Boringly long, slow, and repetitive","долгий, однообразный и утомительный","dull, monotonous, wearisome","утомительный, нудный, однообразный","Waiting two hours at the airport was *tedious*."
"overwhelming","adj","So great in force or amount that you cannot cope","настолько сильный или огромный, что с ним не справиться","crushing, staggering, immense","подавляющий, ошеломляющий, непосильный","The support after the fire was *overwhelming*; hundreds of people helped."
"nostalgic","adj","Fondly and sometimes sadly remembering the past","с теплой грустью вспоминающий прошлое","wistful, sentimental, yearning","ностальгический, тоскующий по прошлому, сентиментальный","That song makes me *nostalgic* for summers at my grandmother's house."
"serene","adj","Calm, still, and completely untroubled","тихий, спокойный, ничем не потревоженный","tranquil, placid, unruffled","безмятежный, спокойный, умиротворенный","The garden was *serene*, with only the birds breaking the silence."
"burn the candle at both ends","idiom","To exhaust yourself by doing far too much","изматывать себя, работая на износ","overdo it, wear yourself out","работать на износ, выматываться, не давать себе отдыха","You cannot work all day and study all night; you are *burning the candle at both ends*."
"chaotic","adj","Completely disordered and out of control","полностью беспорядочный, вышедший из-под контроля","disorderly, turbulent, frantic","хаотичный, беспорядочный, сумбурный","The kitchen was *chaotic*: pans everywhere and nothing put away."
"desolate","adj","Empty and bleak; or feeling utterly abandoned","пустой и мрачный; ощущающий полную заброшенность","barren, bleak, forlorn","пустынный, заброшенный, унылый","The beach felt *desolate* in November; there was nobody there at all."
"luminous","adj","Giving off soft light; glowing from within","излучающий мягкий свет, светящийся изнутри","radiant, glowing, incandescent","светящийся, сияющий, лучезарный","The moon was so *luminous* that we walked home without a light."
"ephemeral","adj","Lasting for a very short time before disappearing","существующий очень недолго и быстро исчезающий","fleeting, transient, momentary","мимолетный, скоротечный, эфемерный","Snow here is *ephemeral*; it has melted by lunchtime."
"jump on the bandwagon","idiom","To join something only because it has become popular","примкнуть к чему-то только потому, что это стало модным","follow the trend, join the crowd","идти за модой, подхватить тренд, примкнуть к толпе","Every cafe *jumped on the bandwagon* and started selling the same drink."
"relentless","adj","Never stopping, easing, or showing mercy","не прекращающийся и не знающий пощады","persistent, unremitting, dogged","неумолимый, неустанный, безжалостный","The rain was *relentless* and did not stop for three days."
"meticulous","adj","Extremely careful about every small detail","предельно внимательный к каждой мелочи","thorough, painstaking, scrupulous","дотошный, скрупулезный, тщательный","He is *meticulous* about his tools: every one has its own place."
"resonate","v","To strike a chord and stay meaningful to someone","находить глубокий отклик и надолго запоминаться","strike a chord, echo, reverberate","находить отклик, резонировать, отзываться","What she said about missing home really *resonated* with me."
"evoke","v","To bring a feeling, image, or memory into the mind","вызывать в сознании чувство, образ или воспоминание","conjure, summon, elicit","вызывать, пробуждать, навевать","The smell of the sea *evokes* childhood holidays."
"a blessing and a curse","idiom","Something that helps you and causes problems at the same time","то, что одновременно и помогает, и создает проблемы","a mixed blessing, it cuts both ways","и благо и проклятие, палка о двух концах, неоднозначная вещь","Having my phone with me all the time is *a blessing and a curse*."
"yearn","v","To long for something deeply and persistently","глубоко и постоянно тосковать по чему-то","long for, crave, pine for","тосковать, жаждать, томиться","After a month away, I began to *yearn* for my own bed."
"flourish","v","To grow strongly and thrive in good conditions","бурно расти и процветать в благоприятных условиях","thrive, prosper, blossom","процветать, расцветать, преуспевать","Tomatoes *flourish* in a warm, sunny spot."
"dwindle","v","To shrink steadily until little is left","постепенно уменьшаться, пока почти ничего не останется","diminish, wane, taper off","убывать, сокращаться, иссякать","My savings *dwindled* while I was out of work."
